weather_surrogate_key,daily_high,daily_low,rain_amount,snow_amount,date_col,station_name
344,25.0,13.0,0.0,0.0,2020-09-01,OTTAWA
345,27.0,19.5,7.0,0.0,2020-09-02,OTTAWA
346,24.5,14.0,2.0,0.0,2020-09-03,OTTAWA
347,21.0,12.0,0.4,0.0,2020-09-04,OTTAWA
348,21.0,9.0,2.4,0.0,2020-09-05,OTTAWA
349,20.5,8.5,0.0,0.0,2020-09-06,OTTAWA
350,25.0,11.0,1.0,0.0,2020-09-07,OTTAWA
351,19.0,10.0,3.2,0.0,2020-09-08,OTTAWA
352,16.0,12.5,3.2,0.0,2020-09-09,OTTAWA
353,15.5,12.0,0.0,0.0,2020-09-10,OTTAWA
354,17.5,8.5,0.0,0.0,2020-09-11,OTTAWA
355,21.0,5.0,1.4,0.0,2020-09-12,OTTAWA
356,22.0,14.5,6.4,0.0,2020-09-13,OTTAWA
357,15.0,9.5,0.0,0.0,2020-09-14,OTTAWA
358,16.5,2.5,0.0,0.0,2020-09-15,OTTAWA
359,22.5,8.0,0.0,0.0,2020-09-16,OTTAWA
360,14.5,9.5,0.0,0.0,2020-09-17,OTTAWA
361,14.0,3.0,0.0,0.0,2020-09-18,OTTAWA
362,13.5,1.5,0.0,0.0,2020-09-19,OTTAWA
363,16.0,4.0,0.0,0.0,2020-09-20,OTTAWA
364,18.0,1.0,0.0,0.0,2020-09-21,OTTAWA
365,19.5,2.0,0.0,0.0,2020-09-22,OTTAWA
366,24.0,12.0,0.0,0.0,2020-09-23,OTTAWA
367,17.5,13.5,0.0,0.0,2020-09-24,OTTAWA
368,18.0,10.5,0.0,0.0,2020-09-25,OTTAWA
369,26.0,8.0,0.0,0.0,2020-09-26,OTTAWA
370,26.0,16.0,0.0,0.0,2020-09-27,OTTAWA
371,27.5,14.5,9.2,0.0,2020-09-28,OTTAWA
372,19.0,15.5,12.6,0.0,2020-09-29,OTTAWA
373,17.0,10.5,3.6,0.0,2020-09-30,OTTAWA
374,19.0,9.5,0.6,0.0,2020-10-01,OTTAWA
375,12.5,8.0,8.6,0.0,2020-10-02,OTTAWA
376,13.5,4.0,0.0,0.0,2020-10-03,OTTAWA
377,15.0,5.0,3.9,0.0,2020-10-04,OTTAWA
378,13.0,8.5,0.0,0.0,2020-10-05,OTTAWA
379,16.5,6.5,3.2,0.0,2020-10-06,OTTAWA
380,17.0,9.5,15.8,0.0,2020-10-07,OTTAWA
381,10.5,4.5,0.0,0.0,2020-10-08,OTTAWA
382,18.0,-1.0,0.0,0.0,2020-10-09,OTTAWA
383,23.0,8.0,0.0,0.0,2020-10-10,OTTAWA
384,11.0,2.0,0.0,0.0,2020-10-11,OTTAWA
385,14.0,1.5,9.4,0.0,2020-10-12,OTTAWA
386,13.0,7.5,4.8,0.0,2020-10-13,OTTAWA
387,16.5,3.5,0.0,0.0,2020-10-14,OTTAWA
388,17.5,7.5,9.4,0.0,2020-10-15,OTTAWA
389,11.0,8.5,0.0,0.0,2020-10-16,OTTAWA
390,14.5,-1.0,0.0,0.0,2020-10-17,OTTAWA
391,14.0,3.5,0.4,0.0,2020-10-18,OTTAWA
392,7.5,6.0,11.8,0.0,2020-10-19,OTTAWA
393,9.0,4.0,6.8,0.0,2020-10-20,OTTAWA
394,15.5,3.5,11.8,0.0,2020-10-21,OTTAWA
395,12.0,3.0,0.0,0.0,2020-10-22,OTTAWA
396,25.0,9.5,3.6,0.0,2020-10-23,OTTAWA
397,8.0,4.0,0.0,0.0,2020-10-24,OTTAWA
398,6.5,-1.0,0.0,0.0,2020-10-25,OTTAWA
399,3.5,0.0,6.0,0.0,2020-10-26,OTTAWA
400,3.5,-2.0,0.4,0.0,2020-10-27,OTTAWA
401,9.5,-2.0,0.0,0.0,2020-10-28,OTTAWA
402,6.0,4.5,0.0,0.0,2020-10-29,OTTAWA
403,4.5,-4.5,0.0,0.0,2020-10-30,OTTAWA
404,7.0,-5.0,0.0,0.0,2020-10-31,OTTAWA
405,8.0,0.0,4.6,0.0,2020-11-01,OTTAWA
406,1.0,-2.5,2.4,3.0,2020-11-02,OTTAWA
407,0.0,-4.0,0.0,0.0,2020-11-03,OTTAWA
408,12.0,-2.5,0.0,0.0,2020-11-04,OTTAWA
409,19.5,-1.0,0.0,0.0,2020-11-05,OTTAWA
410,18.5,6.0,0.0,0.0,2020-11-06,OTTAWA
411,21.0,8.0,0.0,0.0,2020-11-07,OTTAWA
412,22.0,5.0,0.0,0.0,2020-11-08,OTTAWA
413,22.5,5.5,0.0,0.0,2020-11-09,OTTAWA
414,23.0,6.0,0.0,0.0,2020-11-10,OTTAWA
415,20.5,13.5,0.0,0.0,2020-11-11,OTTAWA
416,8.5,2.0,0.0,0.0,2020-11-12,OTTAWA
417,6.5,-2.5,0.0,0.0,2020-11-13,OTTAWA
418,5.0,-1.0,0.0,0.0,2020-11-14,OTTAWA
419,10.0,-5.0,2.4,0.0,2020-11-15,OTTAWA
420,8.0,2.5,0.4,1.0,2020-11-16,OTTAWA
421,2.5,-1.5,0.0,0.0,2020-11-17,OTTAWA
422,-2.0,-8.5,0.0,0.0,2020-11-18,OTTAWA
423,9.0,-8.0,0.0,0.0,2020-11-19,OTTAWA
424,15.5,0.0,0.0,0.0,2020-11-20,OTTAWA
425,5.0,2.0,0.0,0.0,2020-11-21,OTTAWA
426,1.0,-6.0,16.2,14.0,2020-11-22,OTTAWA
427,2.0,-2.0,1.4,0.0,2020-11-23,OTTAWA
428,-2.5,-7.0,7.6,6.0,2020-11-24,OTTAWA
429,1.5,-8.5,7.4,3.0,2020-11-25,OTTAWA
430,3.5,-3.0,1.0,0.0,2020-11-26,OTTAWA
431,5.0,0.5,0.0,0.0,2020-11-27,OTTAWA
432,5.5,1.0,0.0,0.0,2020-11-28,OTTAWA
433,8.0,0.0,0.0,0.0,2020-11-29,OTTAWA
434,5.5,0.0,16.2,0.0,2020-11-30,OTTAWA
435,6.0,3.0,6.2,2.0,2020-12-01,OTTAWA
436,1.5,-2.0,0.4,1.0,2020-12-02,OTTAWA
437,4.0,-6.0,1.6,0.0,2020-12-03,OTTAWA
438,4.0,1.0,4.0,0.0,2020-12-04,OTTAWA
439,1.0,-3.0,0.0,0.0,2020-12-05,OTTAWA
440,-0.5,-5.5,0.0,0.0,2020-12-06,OTTAWA
441,-2.0,-7.0,0.0,0.0,2020-12-07,OTTAWA
442,-3.0,-9.0,3.4,4.0,2020-12-08,OTTAWA
443,2.5,-8.0,1.4,0.0,2020-12-09,OTTAWA
444,1.0,-0.5,0.0,0.0,2020-12-10,OTTAWA
445,4.5,-1.0,0.0,0.0,2020-12-11,OTTAWA
446,7.0,0.0,4.2,0.0,2020-12-12,OTTAWA
