mobility_surrogate_key,metro_area,subregion,province,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date_col
44437,,Ottawa Division,Ontario,-18.0,-4.0,47.0,-59.0,-57.0,16.0,2020-09-01
44438,,Ottawa Division,Ontario,-22.0,-6.0,8.0,-62.0,-57.0,17.0,2020-09-02
44439,,Ottawa Division,Ontario,-13.0,2.0,77.0,-56.0,-56.0,15.0,2020-09-03
44440,,Ottawa Division,Ontario,-22.0,-5.0,61.0,-54.0,-53.0,14.0,2020-09-04
44441,,Ottawa Division,Ontario,-18.0,-5.0,,-40.0,-4.0,1.0,2020-09-05
44442,,Ottawa Division,Ontario,-3.0,9.0,,-39.0,4.0,-2.0,2020-09-06
44443,,Ottawa Division,Ontario,-57.0,-55.0,29.0,-77.0,-84.0,21.0,2020-09-07
44444,,Ottawa Division,Ontario,-17.0,6.0,13.0,-58.0,-58.0,16.0,2020-09-08
44445,,Ottawa Division,Ontario,-24.0,-7.0,2.0,-61.0,-57.0,18.0,2020-09-09
44446,,Ottawa Division,Ontario,-18.0,-1.0,21.0,-58.0,-56.0,17.0,2020-09-10
44447,,Ottawa Division,Ontario,-24.0,-9.0,78.0,-53.0,-52.0,15.0,2020-09-11
44448,,Ottawa Division,Ontario,-15.0,-3.0,175.0,-36.0,0.0,2.0,2020-09-12
44449,,Ottawa Division,Ontario,-17.0,-3.0,37.0,-46.0,-2.0,4.0,2020-09-13
44450,,Ottawa Division,Ontario,-19.0,-6.0,57.0,-59.0,-55.0,16.0,2020-09-14
44451,,Ottawa Division,Ontario,-21.0,-8.0,24.0,-59.0,-53.0,17.0,2020-09-15
44452,,Ottawa Division,Ontario,-22.0,-9.0,58.0,-59.0,-54.0,16.0,2020-09-16
44453,,Ottawa Division,Ontario,-19.0,-4.0,42.0,-58.0,-54.0,17.0,2020-09-17
44454,,Ottawa Division,Ontario,-26.0,-11.0,42.0,-56.0,-50.0,16.0,2020-09-18
44455,,Ottawa Division,Ontario,-18.0,-4.0,113.0,-42.0,-1.0,3.0,2020-09-19
44456,,Ottawa Division,Ontario,-13.0,1.0,131.0,-46.0,3.0,1.0,2020-09-20
44457,,Ottawa Division,Ontario,-22.0,-8.0,51.0,-61.0,-57.0,16.0,2020-09-21
44458,,Ottawa Division,Ontario,-25.0,-8.0,32.0,-60.0,-54.0,17.0,2020-09-22
44459,,Ottawa Division,Ontario,-26.0,-9.0,41.0,-62.0,-53.0,17.0,2020-09-23
44460,,Ottawa Division,Ontario,-25.0,-7.0,9.0,-62.0,-53.0,18.0,2020-09-24
44461,,Ottawa Division,Ontario,-29.0,-10.0,39.0,-58.0,-49.0,16.0,2020-09-25
44462,,Ottawa Division,Ontario,-21.0,-6.0,131.0,-46.0,0.0,3.0,2020-09-26
44463,,Ottawa Division,Ontario,-17.0,-1.0,117.0,-47.0,4.0,1.0,2020-09-27
44464,,Ottawa Division,Ontario,-25.0,-8.0,47.0,-63.0,-55.0,17.0,2020-09-28
44465,,Ottawa Division,Ontario,-28.0,-9.0,-6.0,-64.0,-54.0,18.0,2020-09-29
44466,,Ottawa Division,Ontario,-27.0,-6.0,-14.0,-65.0,-54.0,19.0,2020-09-30
44467,,Ottawa Division,Ontario,-23.0,-2.0,9.0,-61.0,-52.0,18.0,2020-10-01
44468,,Ottawa Division,Ontario,-33.0,-12.0,-8.0,-62.0,-49.0,19.0,2020-10-02
44469,,Ottawa Division,Ontario,-22.0,-3.0,78.0,-47.0,-3.0,5.0,2020-10-03
44470,,Ottawa Division,Ontario,-20.0,0.0,50.0,-53.0,-1.0,4.0,2020-10-04
44471,,Ottawa Division,Ontario,-27.0,-7.0,6.0,-65.0,-56.0,18.0,2020-10-05
44472,,Ottawa Division,Ontario,-28.0,-6.0,-4.0,-64.0,-53.0,18.0,2020-10-06
44473,,Ottawa Division,Ontario,-32.0,-9.0,-26.0,-68.0,-53.0,19.0,2020-10-07
44474,,Ottawa Division,Ontario,-24.0,3.0,5.0,-61.0,-52.0,18.0,2020-10-08
44475,,Ottawa Division,Ontario,-29.0,0.0,19.0,-57.0,-50.0,17.0,2020-10-09
