special_measures_surrogate_key,status,region,description,isProvincial,start_date,end_date
100,Private gathering restrictions,durham,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
101,Private gathering restrictions,halton,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
102,Private gathering restrictions,peel,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
103,Private gathering restrictions,york,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
104,Private gathering restrictions,toronto,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
105,Private gathering restrictions,ottawa,"restrictions to 10 indoors, 25 outdoors",True,2020-09-01,2020-10-01
106,Acitivies closures,durham,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
107,Acitivies closures,halton,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
108,Acitivies closures,peel,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
109,Acitivies closures,york,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
110,Acitivies closures,toronto,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
111,Acitivies closures,ottawa,"Closure of all restaurants, bars, gyms, movie theatres and casinos",True,2020-10-02,2020-11-06
114,Protect,durham,"Strengthened measures: Stronger targeted enforcement, fines and more education to limit the spread. Public health measures for high-risk settings.",False,2020-11-07,2020-11-15
119,Protect,halton,"Strengthened measures: Stronger targeted enforcement, fines and more education to limit the spread. Public health measures for high-risk settings.",False,2020-11-07,2020-11-15
130,Restrict,ottawa,"Intermediate measures: Stronger actions, restrictions and enforcement while avoiding closures.",False,2020-11-07,2021-12-25
131,Control,peel,Stringent measures: Broader-scale actions and restrictions across multiple sectors to control the spread. Restrictions are the most severe available before widescale business or organizational closings.,False,2020-11-07,2020-11-22
141,Other,toronto,No description available,False,2020-11-07,2020-11-15
144,Restrict,york,"Intermediate measures: Stronger actions, restrictions and enforcement while avoiding closures.",False,2020-11-07,2020-11-15
146,Restrict,durham,"Intermediate measures: Stronger actions, restrictions and enforcement while avoiding closures.",False,2020-11-16,2020-11-22
148,Control,halton,Stringent measures: Broader-scale actions and restrictions across multiple sectors to control the spread. Restrictions are the most severe available before widescale business or organizational closings.,False,2020-11-16,2020-12-25
156,Control,toronto,Stringent measures: Broader-scale actions and restrictions across multiple sectors to control the spread. Restrictions are the most severe available before widescale business or organizational closings.,False,2020-11-16,2020-11-22
159,Control,york,Stringent measures: Broader-scale actions and restrictions across multiple sectors to control the spread. Restrictions are the most severe available before widescale business or organizational closings.,False,2020-11-16,2020-12-13
161,Control,durham,Stringent measures: Broader-scale actions and restrictions across multiple sectors to control the spread. Restrictions are the most severe available before widescale business or organizational closings.,False,2020-11-23,2020-12-25
166,Lockdown,peel,"Maximum measures: Widescale actions and restrictions, including closures, to stop or slow the spread.?We will consider declaring a state of emergency.",False,2020-11-23,2021-12-25
172,Lockdown,toronto,"Maximum measures: Widescale actions and restrictions, including closures, to stop or slow the spread.?We will consider declaring a state of emergency.",False,2020-11-23,2021-12-25
188,Lockdown,york,"Maximum measures: Widescale actions and restrictions, including closures, to stop or slow the spread.?We will consider declaring a state of emergency.",False,2020-12-14,2021-12-25
198,Stay-at-home,durham,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-02-15
203,Stay-at-home,halton,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-02-15
214,Stay-at-home,ottawa,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-02-15
215,Stay-at-home,peel,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-03-08
225,Stay-at-home,toronto,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-03-08
228,Stay-at-home,york,"Until your region returns to the colour-coded framework, the shutdown and stay-at-home orders still apply in your area.",False,2020-12-26,2021-02-21
